Tanggal,SU,KU,CH
10/17/2008,20.6,88,11
10/18/2008,21,78,23
10/19/2008,21.4,84,0
10/20/2008,22.2,78,10
10/21/2008,21.6,76,1
10/22/2008,21.4,86,0
10/23/2008,21,92,6
10/24/2008,20.3,89,40
10/25/2008,20.5,82,0
10/26/2008,20.5,85,1.5
10/27/2008,20.6,82,3
10/28/2008,20.7,87,0
10/29/2008,19.4,74,65
10/30/2008,20.4,84,0
10/31/2008,21,85,0
11/1/2008,21.3,86,11
11/2/2008,21,89,35
11/3/2008,20.1,93,56
11/4/2008,21,88,30
11/5/2008,20.8,88,14
11/6/2008,20.4,91,18
11/7/2008,21.1,89,26
11/8/2008,21.1,86,1
11/9/2008,21,92,5
11/10/2008,20.6,91,27
11/11/2008,21.5,83,20
11/12/2008,22,81,0
11/13/2008,21,87,10
11/14/2008,20.5,88,58
11/15/2008,20.5,90,48
11/16/2008,22.2,82,10
11/17/2008,22,89,8
11/18/2008,21,93,32
11/19/2008,20.4,88,16
11/20/2008,21.4,84,0
11/21/2008,22,81,2
11/22/2008,21.8,80,4
11/23/2008,22.2,81,0
11/24/2008,20.1,93,47
11/25/2008,22.3,81,1
11/26/2008,20.1,89,0
11/27/2008,22.2,79,12
11/28/2008,21.8,82,0
11/29/2008,22.3,79,0
11/30/2008,21.6,84,0
12/1/2008,22,84,18
12/2/2008,21.3,86,2
12/3/2008,21.3,86,24
12/4/2008,21.3,88,23
12/5/2008,20.9,87,27
12/6/2008,21.8,87,5
12/7/2008,21.6,86,4
12/8/2008,20.7,89,6
12/9/2008,21.6,83,2
12/10/2008,21.3,83,0
12/11/2008,20.3,94,8
12/12/2008,20.8,85,0
12/13/2008,21.5,85,0
12/14/2008,21.7,84,8
12/15/2008,20.4,94,5
12/16/2008,21.5,83,48
12/17/2008,21.5,80,1
12/18/2008,21.2,87,0
12/19/2008,20.8,89,0
12/20/2008,20.4,91,3
12/21/2008,20.7,87,5
12/22/2008,20.5,94,7
12/23/2008,19.6,97,32
12/24/2008,21.4,85,12
12/25/2008,20.9,87,0
12/26/2008,20.7,86,11
12/27/2008,20.7,86,1
